attribute description, element ns name, element local name
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,saveSubsetFonts
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,saveXmlDataOnly
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,semiHidden
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,shadow
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,showEnvelope
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,showXMLTags
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,showingPlcHdr
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,sizeAuto
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,smallCaps
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,snapToGrid
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,spaceForUL
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,specVanish
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,strictFirstAndLastChars
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,strike
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,styleLockQFSet
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,styleLockTheme
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,suppressAutoHyphens
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,suppressLineNumbers
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,suppressOverlap
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,tblHeader
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,tcFitText
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,temporary
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,titlePg
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,topLinePunct
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,trackRevisions
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,ulTrailSpace
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,unhideWhenUsed
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,updateFields
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,useXSLTWhenSaving
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,vanish
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,viewMergedData
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,webHidden
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,widowControl
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,wordWrap
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/drawingml/chart,chart
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/drawingml/chart,externalData
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/drawingml/chart,userShapes
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/drawingml/main,hlinkClick
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/drawingml/main,hlinkHover
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/drawingml/main,hlinkMouseOver
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/drawingml/spreadsheetDrawing,contentPart
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/drawingml/wordprocessingDrawing,contentPart
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,bold
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,boldItalic
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,contentPart
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,control
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,custData
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,handoutMasterId
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,italic
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,notesMasterId
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,oleObj
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,regular
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,sld
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,sld
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,sldId
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,sldLayoutId
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,sldMasterId
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,smartTags
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/presentationml/main,tags
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,control
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,controlPr
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,customPr
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,dataRef
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,drawing
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,drawingHF
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,externalBook
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,externalReference
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,header
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,hyperlink
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,objectPr
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,oleLink
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,oleObject
{http://purl.oclc.org/ooxml/officeDocument/relationships}id defined by r_id,http://purl.oclc.org/ooxml/spreadsheetml/main,pageSetup
