, connectionId, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, autoFormatId, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, applyNumberFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, applyBorderFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, applyFontFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, applyPatternFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, applyAlignmentFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, applyWidthHeightFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, count, sml_CT_Sst, http://purl.oclc.org/ooxml/spreadsheetml/main, sst
, uniqueCount, sml_CT_Sst, http://purl.oclc.org/ooxml/spreadsheetml/main, sst
, id, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, name, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, displayName, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, comment, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, ref, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, tableType, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, headerRowCount, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, insertRow, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, insertRowShift, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, totalsRowCount, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, totalsRowShown, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, published, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, headerRowDxfId, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, dataDxfId, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, totalsRowDxfId, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, headerRowBorderDxfId, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, tableBorderDxfId, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, totalsRowBorderDxfId, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, headerRowCellStyle, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, dataCellStyle, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, totalsRowCellStyle, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, connectionId, sml_CT_Table, http://purl.oclc.org/ooxml/spreadsheetml/main, table
, count, sml_CT_Users, http://purl.oclc.org/ooxml/spreadsheetml/main, users
, conformance, sml_CT_Workbook, http://purl.oclc.org/ooxml/spreadsheetml/main, workbook
http://purl.oclc.org/ooxml/wordprocessingml/main, conformance, w_CT_Document, http://purl.oclc.org/ooxml/wordprocessingml/main, document
, styleId, a_CT_TableStyle, http://purl.oclc.org/ooxml/drawingml/main, tblStyle
, styleName, a_CT_TableStyle, http://purl.oclc.org/ooxml/drawingml/main, tblStyle
, name, a_CT_ColorScheme, http://purl.oclc.org/ooxml/drawingml/main, clrScheme
, name, a_CT_FontScheme, http://purl.oclc.org/ooxml/drawingml/main, fontScheme
, name, a_CT_StyleMatrix, http://purl.oclc.org/ooxml/drawingml/main, fmtScheme
, val, dchrt_CT_Boolean, http://purl.oclc.org/ooxml/drawingml/chart, date1904
, val, dchrt_CT_TextLanguageID, http://purl.oclc.org/ooxml/drawingml/chart, lang
, val, dchrt_CT_Boolean, http://purl.oclc.org/ooxml/drawingml/chart, roundedCorners
, val, dchrt_CT_Style, http://purl.oclc.org/ooxml/drawingml/chart, style
, bg1, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, tx1, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, bg2, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, tx2, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, accent1, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, accent2, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, accent3, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, accent4, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
