attribute ns name, attribute local name, defind by, element ns name, element local name
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, dateFormat
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, decimalSymbol
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, default
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, defaultTableStyle
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, description
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, docPart
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, docPartCategory
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, docPartGallery
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, encoding
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, format
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, header
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, link
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, listEntry
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, listSeparator
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, mailSubject
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, mappedName
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, name
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, next
